subject,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage,toggle_rate,wrong_fire_rate_all,t_on,t_off,k,n
1,0.55,0.7083333333333334,0.25957446808510637,0.8159722222222222,0.04529616724738676,0.6041666666666666,0.55,0.5,3.0,5.0
1,0.6,0.7083333333333334,0.2828282828282828,0.6875,0.09407665505226481,0.4930555555555556,0.6,0.5499999999999999,3.0,5.0
1,0.65,0.7083333333333334,0.26666666666666666,0.46875,0.12195121951219512,0.34375,0.65,0.6,3.0,5.0
1,0.7,0.7083333333333334,0.3291139240506329,0.2743055555555556,0.10801393728222997,0.1840277777777778,0.7,0.6499999999999999,3.0,5.0
1,0.75,0.7083333333333334,0.4,0.1388888888888889,0.08710801393728224,0.08333333333333333,0.75,0.7,3.0,5.0
1,0.8,0.7083333333333334,0.5384615384615384,0.09027777777777778,0.06968641114982578,0.041666666666666664,0.8,0.75,3.0,5.0
1,0.85,0.7083333333333334,0.5789473684210527,0.06597222222222222,0.04878048780487805,0.027777777777777776,0.85,0.7999999999999999,3.0,5.0
1,0.9,0.7083333333333334,,0.0,0.0,0.0,0.9,0.85,3.0,5.0
1,0.95,0.7083333333333334,,0.0,0.0,0.0,0.95,0.8999999999999999,3.0,5.0
1,1.0,0.7083333333333334,,0.0,0.0,0.0,1.0,0.95,3.0,5.0
2,0.55,0.5243055555555556,0.23255813953488372,0.4479166666666667,0.11846689895470383,0.34375,0.55,0.5,3.0,5.0
2,0.6,0.5243055555555556,0.22727272727272727,0.3819444444444444,0.1254355400696864,0.2951388888888889,0.6,0.5499999999999999,3.0,5.0
2,0.65,0.5243055555555556,0.30985915492957744,0.2465277777777778,0.1254355400696864,0.1701388888888889,0.65,0.6,3.0,5.0
2,0.7,0.5243055555555556,0.42424242424242425,0.11458333333333333,0.09059233449477352,0.06597222222222222,0.7,0.6499999999999999,3.0,5.0
2,0.75,0.5243055555555556,0.42857142857142855,0.04861111111111111,0.0627177700348432,0.027777777777777776,0.75,0.7,3.0,5.0
2,0.8,0.5243055555555556,0.6,0.017361111111111112,0.03484320557491289,0.006944444444444444,0.8,0.75,3.0,5.0
2,0.85,0.5243055555555556,,0.0,0.0,0.0,0.85,0.7999999999999999,3.0,5.0
2,0.9,0.5243055555555556,,0.0,0.0,0.0,0.9,0.85,3.0,5.0
2,0.95,0.5243055555555556,,0.0,0.0,0.0,0.95,0.8999999999999999,3.0,5.0
2,1.0,0.5243055555555556,,0.0,0.0,0.0,1.0,0.95,3.0,5.0
3,0.55,0.7465277777777778,0.28448275862068967,0.8055555555555556,0.04529616724738676,0.5763888888888888,0.55,0.5,3.0,5.0
3,0.6,0.7465277777777778,0.30386740331491713,0.6284722222222222,0.08013937282229965,0.4375,0.6,0.5499999999999999,3.0,5.0
3,0.65,0.7465277777777778,0.29605263157894735,0.5277777777777778,0.09407665505226481,0.3715277777777778,0.65,0.6,3.0,5.0
3,0.7,0.7465277777777778,0.30952380952380953,0.4375,0.1254355400696864,0.3020833333333333,0.7,0.6499999999999999,3.0,5.0
3,0.75,0.7465277777777778,0.36363636363636365,0.22916666666666666,0.1254355400696864,0.14583333333333334,0.75,0.7,3.0,5.0
3,0.8,0.7465277777777778,0.5476190476190477,0.14583333333333334,0.11846689895470383,0.06597222222222222,0.8,0.75,3.0,5.0
3,0.85,0.7465277777777778,0.5925925925925926,0.09375,0.08362369337979095,0.03819444444444445,0.85,0.7999999999999999,3.0,5.0
3,0.9,0.7465277777777778,0.45454545454545453,0.03819444444444445,0.03484320557491289,0.020833333333333332,0.9,0.85,3.0,5.0
3,0.95,0.7465277777777778,,0.0,0.0,0.0,0.95,0.8999999999999999,3.0,5.0
3,1.0,0.7465277777777778,,0.0,0.0,0.0,1.0,0.95,3.0,5.0
4,0.55,0.5208333333333334,0.24528301886792453,0.5520833333333334,0.10452961672473868,0.4166666666666667,0.55,0.5,3.0,5.0
4,0.6,0.5208333333333334,0.27184466019417475,0.3576388888888889,0.11846689895470383,0.2604166666666667,0.6,0.5499999999999999,3.0,5.0
4,0.65,0.5208333333333334,0.25862068965517243,0.2013888888888889,0.0975609756097561,0.14930555555555555,0.65,0.6,3.0,5.0
4,0.7,0.5208333333333334,0.3157894736842105,0.06597222222222222,0.03484320557491289,0.04513888888888889,0.7,0.6499999999999999,3.0,5.0
4,0.75,0.5208333333333334,1.0,0.003472222222222222,0.006968641114982578,0.0,0.75,0.7,3.0,5.0
4,0.8,0.5208333333333334,,0.0,0.0,0.0,0.8,0.75,3.0,5.0
4,0.85,0.5208333333333334,,0.0,0.0,0.0,0.85,0.7999999999999999,3.0,5.0
4,0.9,0.5208333333333334,,0.0,0.0,0.0,0.9,0.85,3.0,5.0
4,0.95,0.5208333333333334,,0.0,0.0,0.0,0.95,0.8999999999999999,3.0,5.0
4,1.0,0.5208333333333334,,0.0,0.0,0.0,1.0,0.95,3.0,5.0
5,0.55,0.40625,0.23404255319148937,0.3263888888888889,0.14634146341463414,0.25,0.55,0.5,3.0,5.0
5,0.6,0.40625,0.18867924528301888,0.1840277777777778,0.1254355400696864,0.14930555555555555,0.6,0.5499999999999999,3.0,5.0
5,0.65,0.40625,0.2,0.06944444444444445,0.05574912891986063,0.05555555555555555,0.65,0.6,3.0,5.0
5,0.7,0.40625,0.0,0.010416666666666666,0.006968641114982578,0.010416666666666666,0.7,0.6499999999999999,3.0,5.0
5,0.75,0.40625,,0.0,0.0,0.0,0.75,0.7,3.0,5.0
5,0.8,0.40625,,0.0,0.0,0.0,0.8,0.75,3.0,5.0
5,0.85,0.40625,,0.0,0.0,0.0,0.85,0.7999999999999999,3.0,5.0
5,0.9,0.40625,,0.0,0.0,0.0,0.9,0.85,3.0,5.0
5,0.95,0.40625,,0.0,0.0,0.0,0.95,0.8999999999999999,3.0,5.0
5,1.0,0.40625,,0.0,0.0,0.0,1.0,0.95,3.0,5.0
6,0.55,0.4895833333333333,0.2727272727272727,0.34375,0.08710801393728224,0.25,0.55,0.5,3.0,5.0
6,0.6,0.4895833333333333,0.2962962962962963,0.1875,0.09059233449477352,0.13194444444444445,0.6,0.5499999999999999,3.0,5.0
6,0.65,0.4895833333333333,0.3333333333333333,0.020833333333333332,0.041811846689895474,0.013888888888888888,0.65,0.6,3.0,5.0
6,0.7,0.4895833333333333,0.5,0.006944444444444444,0.013937282229965157,0.003472222222222222,0.7,0.6499999999999999,3.0,5.0
6,0.75,0.4895833333333333,,0.0,0.0,0.0,0.75,0.7,3.0,5.0
6,0.8,0.4895833333333333,,0.0,0.0,0.0,0.8,0.75,3.0,5.0
6,0.85,0.4895833333333333,,0.0,0.0,0.0,0.85,0.7999999999999999,3.0,5.0
6,0.9,0.4895833333333333,,0.0,0.0,0.0,0.9,0.85,3.0,5.0
6,0.95,0.4895833333333333,,0.0,0.0,0.0,0.95,0.8999999999999999,3.0,5.0
6,1.0,0.4895833333333333,,0.0,0.0,0.0,1.0,0.95,3.0,5.0
7,0.55,0.7777777777777778,0.2290909090909091,0.9548611111111112,0.024390243902439025,0.7361111111111112,0.55,0.5,3.0,5.0
7,0.6,0.7777777777777778,0.224,0.8680555555555556,0.06620209059233449,0.6736111111111112,0.6,0.5499999999999999,3.0,5.0
7,0.65,0.7777777777777778,0.2885572139303483,0.6979166666666666,0.0975609756097561,0.4965277777777778,0.65,0.6,3.0,5.0
7,0.7,0.7777777777777778,0.3197278911564626,0.5104166666666666,0.13240418118466898,0.3472222222222222,0.7,0.6499999999999999,3.0,5.0
7,0.75,0.7777777777777778,0.29133858267716534,0.4409722222222222,0.1254355400696864,0.3125,0.75,0.7,3.0,5.0
7,0.8,0.7777777777777778,0.3684210526315789,0.2638888888888889,0.11149825783972125,0.16666666666666666,0.8,0.75,3.0,5.0
7,0.85,0.7777777777777778,0.5609756097560976,0.1423611111111111,0.09059233449477352,0.0625,0.85,0.7999999999999999,3.0,5.0
7,0.9,0.7777777777777778,0.5,0.027777777777777776,0.027874564459930314,0.013888888888888888,0.9,0.85,3.0,5.0
7,0.95,0.7777777777777778,,0.0,0.0,0.0,0.95,0.8999999999999999,3.0,5.0
7,1.0,0.7777777777777778,,0.0,0.0,0.0,1.0,0.95,3.0,5.0
8,0.55,0.7673611111111112,0.2723404255319149,0.8159722222222222,0.06968641114982578,0.59375,0.55,0.5,3.0,5.0
8,0.6,0.7673611111111112,0.2727272727272727,0.7256944444444444,0.0975609756097561,0.5277777777777778,0.6,0.5499999999999999,3.0,5.0
8,0.65,0.7673611111111112,0.25263157894736843,0.6597222222222222,0.0975609756097561,0.4930555555555556,0.65,0.6,3.0,5.0
8,0.7,0.7673611111111112,0.30612244897959184,0.5104166666666666,0.1254355400696864,0.3541666666666667,0.7,0.6499999999999999,3.0,5.0
8,0.75,0.7673611111111112,0.4,0.3125,0.13937282229965156,0.1875,0.75,0.7,3.0,5.0
8,0.8,0.7673611111111112,0.4827586206896552,0.2013888888888889,0.11149825783972125,0.10416666666666667,0.8,0.75,3.0,5.0
8,0.85,0.7673611111111112,0.6,0.10416666666666667,0.10452961672473868,0.041666666666666664,0.85,0.7999999999999999,3.0,5.0
8,0.9,0.7673611111111112,0.6190476190476191,0.07291666666666667,0.07665505226480836,0.027777777777777776,0.9,0.85,3.0,5.0
8,0.95,0.7673611111111112,,0.0,0.0,0.0,0.95,0.8999999999999999,3.0,5.0
8,1.0,0.7673611111111112,,0.0,0.0,0.0,1.0,0.95,3.0,5.0
9,0.55,0.5740072202166066,0.29239766081871343,0.6173285198555957,0.09782608695652174,0.4368231046931408,0.55,0.5,3.0,5.0
9,0.6,0.5740072202166066,0.30701754385964913,0.41155234657039713,0.11956521739130435,0.2851985559566787,0.6,0.5499999999999999,3.0,5.0
9,0.65,0.5740072202166066,0.38461538461538464,0.2815884476534296,0.11231884057971014,0.17328519855595667,0.65,0.6,3.0,5.0
9,0.7,0.5740072202166066,0.375,0.20216606498194944,0.10507246376811594,0.1263537906137184,0.7,0.6499999999999999,3.0,5.0
9,0.75,0.5740072202166066,0.40540540540540543,0.13357400722021662,0.07246376811594203,0.07942238267148015,0.75,0.7,3.0,5.0
9,0.8,0.5740072202166066,0.38461538461538464,0.04693140794223827,0.028985507246376812,0.02888086642599278,0.8,0.75,3.0,5.0
9,0.85,0.5740072202166066,0.5,0.007220216606498195,0.014492753623188406,0.0036101083032490976,0.85,0.7999999999999999,3.0,5.0
9,0.9,0.5740072202166066,,0.0,0.0,0.0,0.9,0.85,3.0,5.0
9,0.95,0.5740072202166066,,0.0,0.0,0.0,0.95,0.8999999999999999,3.0,5.0
9,1.0,0.5740072202166066,,0.0,0.0,0.0,1.0,0.95,3.0,5.0
