subject,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage
1,0.0,0.75,0.75,1.0
1,0.55,0.75,0.7709923664122137,0.9097222222222222
1,0.6,0.75,0.782051282051282,0.8125
1,0.65,0.75,0.8190954773869347,0.6909722222222222
1,0.7,0.75,0.8373493975903614,0.5763888888888888
1,0.75,0.75,0.8842975206611571,0.4201388888888889
2,0.0,0.5972222222222222,0.5972222222222222,1.0
2,0.55,0.5972222222222222,0.7910447761194029,0.4652777777777778
2,0.6,0.5972222222222222,0.8611111111111112,0.375
2,0.65,0.5972222222222222,0.872093023255814,0.2986111111111111
2,0.7,0.5972222222222222,0.8611111111111112,0.25
2,0.75,0.5972222222222222,0.8983050847457628,0.2048611111111111
3,0.0,0.7708333333333334,0.7708333333333334,1.0
3,0.55,0.7708333333333334,0.8286852589641435,0.8715277777777778
3,0.6,0.7708333333333334,0.8434782608695652,0.7986111111111112
3,0.65,0.7708333333333334,0.8817733990147784,0.7048611111111112
3,0.7,0.7708333333333334,0.8813559322033898,0.6145833333333334
3,0.75,0.7708333333333334,0.9251700680272109,0.5104166666666666
4,0.0,0.4166666666666667,0.4166666666666667,1.0
4,0.55,0.4166666666666667,0.5,0.034722222222222224
4,0.6,0.4166666666666667,0.5,0.006944444444444444
4,0.65,0.4166666666666667,,0.0
4,0.7,0.4166666666666667,,0.0
4,0.75,0.4166666666666667,,0.0
5,0.0,0.3854166666666667,0.3854166666666667,1.0
5,0.55,0.3854166666666667,0.7777777777777778,0.03125
5,0.6,0.3854166666666667,0.8333333333333334,0.020833333333333332
5,0.65,0.3854166666666667,0.8,0.017361111111111112
5,0.7,0.3854166666666667,1.0,0.003472222222222222
5,0.75,0.3854166666666667,,0.0
6,0.0,0.4201388888888889,0.4201388888888889,1.0
6,0.55,0.4201388888888889,0.52,0.1736111111111111
6,0.6,0.4201388888888889,0.6,0.08680555555555555
6,0.65,0.4201388888888889,0.5833333333333334,0.041666666666666664
6,0.7,0.4201388888888889,1.0,0.006944444444444444
6,0.75,0.4201388888888889,,0.0
7,0.0,0.7326388888888888,0.7326388888888888,1.0
7,0.55,0.7326388888888888,0.7786885245901639,0.8472222222222222
7,0.6,0.7326388888888888,0.7887323943661971,0.7395833333333334
7,0.65,0.7326388888888888,0.8074866310160428,0.6493055555555556
7,0.7,0.7326388888888888,0.8208955223880597,0.4652777777777778
7,0.75,0.7326388888888888,0.8478260869565217,0.3194444444444444
8,0.0,0.7291666666666666,0.7291666666666666,1.0
8,0.55,0.7291666666666666,0.8280542986425339,0.7673611111111112
8,0.6,0.7291666666666666,0.8724489795918368,0.6805555555555556
8,0.65,0.7291666666666666,0.9030303030303031,0.5729166666666666
8,0.7,0.7291666666666666,0.9069767441860465,0.4479166666666667
8,0.75,0.7291666666666666,0.9090909090909091,0.3055555555555556
9,0.0,0.5631768953068592,0.5631768953068592,1.0
9,0.55,0.5631768953068592,0.6637168141592921,0.40794223826714804
9,0.6,0.5631768953068592,0.6835443037974683,0.2851985559566787
9,0.65,0.5631768953068592,0.734375,0.23104693140794225
9,0.7,0.5631768953068592,0.7714285714285715,0.1263537906137184
9,0.75,0.5631768953068592,0.6666666666666666,0.04332129963898917
