pipeline,subject,score_mean,score_sd,n_folds
CSP+LDA,1,0.6888888888888889,0.22771001702132437,5
CSP+LDA,2,0.8444444444444444,0.16850834320114555,5
CSP+LDA,3,0.4444444444444445,0.11111111111111112,5
CSP+LDA,4,0.6222222222222221,0.2897423291201177,5
CSP+LDA,5,0.4,0.12668615834434868,5
CSP+LDA,6,0.5333333333333333,0.18257418583505539,5
CSP+LDA,7,0.9555555555555555,0.06085806194501849,5
CSP+LDA,8,0.5111111111111111,0.1685083432011456,5
CSP+LDA,9,0.6,0.12668615834434865,5
CSP+LDA,10,0.6222222222222222,0.12668615834434868,5
CSP+SVM,1,0.711111111111111,0.24343224778007386,5
CSP+SVM,2,0.8444444444444444,0.09938079899999064,5
CSP+SVM,3,0.48888888888888893,0.12668615834434868,5
CSP+SVM,4,0.5555555555555556,0.15713484026367724,5
CSP+SVM,5,0.37777777777777777,0.12668615834434868,5
CSP+SVM,6,0.4666666666666667,0.14487116456005888,5
CSP+SVM,7,0.9777777777777779,0.04969039949999534,5
CSP+SVM,8,0.4222222222222222,0.09296222517045287,5
CSP+SVM,9,0.5555555555555556,0.07856742013183861,5
CSP+SVM,10,0.48888888888888893,0.25579698740491863,5
