subject,LDA_acc,SVM_acc,RF_acc,best_model,best_acc,n_trials,n_classes
1,0.6888888888888889,0.6888888888888889,0.6444444444444445,LDA,0.6888888888888889,45,2
2,0.8444444444444444,0.8222222222222222,0.8444444444444444,LDA,0.8444444444444444,45,2
3,0.4444444444444444,0.5333333333333333,0.5111111111111111,SVM,0.5333333333333333,45,2
4,0.6222222222222222,0.5555555555555556,0.5555555555555556,LDA,0.6222222222222222,45,2
5,0.4,0.37777777777777777,0.4444444444444444,RF,0.4444444444444444,45,2
6,0.5333333333333333,0.4888888888888889,0.5111111111111111,LDA,0.5333333333333333,45,2
7,0.9555555555555556,0.9777777777777777,0.9555555555555556,SVM,0.9777777777777777,45,2
8,0.5111111111111111,0.4666666666666667,0.4666666666666667,LDA,0.5111111111111111,45,2
9,0.6,0.4666666666666667,0.5555555555555556,LDA,0.6,45,2
10,0.6222222222222222,0.4666666666666667,0.5111111111111111,LDA,0.6222222222222222,45,2
